cluster	proteomes_count	UP000827084	UP000241824	UP001805215	UP000426033	UP001064402	UP001251091	UP000663399
UPI000D2067ED	7	1	1	1	1	1	1	1
UPI000D206274	7	1	1	1	1	1	1	1
UPI000D206184	7	1	1	1	1	1	1	1
UPI000D205EAA	7	1	1	1	1	1	1	1
UPI000D205CEE	7	1	1	1	1	1	1	1
UPI000D20522B	7	1	1	1	1	1	1	1
UPI000D205068	7	1	1	1	1	1	1	1
UPI000D203B9D	7	1	1	1	1	1	1	1
UPI000D203940	7	1	1	1	1	1	1	1
UPI000D2036F5	7	1	1	1	1	1	1	1
UPI000D2036E5	7	1	1	1	1	1	1	1
UPI000D203000	7	1	1	1	1	1	1	1
UPI000D202E6D	7	1	1	1	1	1	1	1
UPI000D2025FB	7	1	1	1	1	1	1	1
UPI000D201F25	7	1	1	1	1	1	1	1
UPI000D201E94	7	1	1	1	1	1	1	1
UPI000D201B4E	7	1	1	1	1	1	1	1
UPI000D201AD9	7	1	1	1	1	1	1	1
UPI000D201219	7	1	1	1	1	1	1	1
UPI000D200DAF	7	1	1	1	1	1	1	1
UPI000D200B79	7	1	1	1	1	1	1	1
UPI000D200B41	7	1	1	1	1	1	1	1
UPI000D20098D	7	1	1	1	1	1	1	1
UPI000D200643	7	1	1	1	1	1	1	1
UPI000D200397	7	1	1	1	1	1	1	1
UPI000D1FFCAA	7	1	1	1	1	1	1	1
UPI000D1FFC6D	7	1	1	1	1	1	1	1
UPI000D1FFADC	7	1	1	1	1	1	1	1
UPI000D1FF748	7	1	1	1	1	1	1	1
UPI000D1FF521	7	1	1	1	1	1	1	1
UPI000D1FE7AE	7	1	1	1	1	1	1	1
UPI000B0E5666	7	1	1	1	1	1	1	1
UPI000AC0D2A2	7	1	1	1	1	1	1	1
UPI000A9AC1C8	7	1	1	1	1	1	1	1
UPI000A658272	7	1	1	1	1	1	1	1
UPI000A4EB61A	7	1	1	1	1	1	1	1
UPI000A40D086	7	1	1	1	1	1	1	1
UPI0009EE85EC	7	1	1	1	1	1	1	1
UPI0009EE79EA	7	1	1	1	1	1	1	1
UPI0009EE5B6C	7	1	1	1	1	1	1	1
UPI0009EE494B	7	1	1	1	1	1	1	1
UPI0009EDA1A2	7	1	1	1	1	1	1	1
UPI0009ED7299	7	1	1	1	1	1	1	1
UPI0009ED63BB	7	1	1	1	1	1	1	1
UPI0009ECF732	7	1	1	1	1	1	1	1
UPI0009D78327	7	1	1	1	1	1	1	1
UPI00077CDB05	7	1	1	1	1	1	1	1
UPI00077CDAC9	7	1	1	1	1	1	1	1
UPI00077CDA6E	7	1	1	1	1	1	1	1
UPI00077CD996	7	1	1	1	1	1	1	1
UPI00077CD98A	7	1	1	1	1	1	1	1
UPI00077CD79A	7	1	1	1	1	1	1	1
UPI00077CD6B0	7	1	1	1	1	1	1	1
UPI00077CD5FD	7	1	1	1	1	1	1	1
UPI00077CD233	7	1	1	1	1	1	1	1
UPI00077CD162	7	1	1	1	1	1	1	1
UPI00077CD0A5	7	1	1	1	1	1	1	1
UPI00077CCFA4	7	1	1	1	1	1	1	1
UPI00077CCF98	7	1	1	1	1	1	1	1
UPI00077CCEB9	7	1	1	1	1	1	1	1
UPI00077CCE56	7	1	1	1	1	1	1	1
UPI00077CCDC1	7	1	1	1	1	1	1	1
UPI00077CCDA9	7	1	1	1	1	1	1	1
UPI00077CCD7F	7	1	1	1	1	1	1	1
UPI00077CCD0C	7	1	1	1	1	1	1	1
UPI00077CCC6C	7	1	1	1	1	1	1	1
UPI00077CCC2C	7	1	1	1	1	1	1	1
UPI00077CCC10	7	1	1	1	1	1	1	1
UPI00077CCBDC	7	1	1	1	1	1	1	1
UPI00077CCB05	7	1	1	1	1	1	1	1
UPI00077CC9E6	7	1	1	1	1	1	1	1
UPI00077CC94D	7	1	1	1	1	1	1	1
UPI00077CC91D	7	1	1	1	1	1	1	1
UPI00077CC8C6	7	1	1	1	1	1	1	1
UPI00077CC7CE	7	1	1	1	1	1	1	1
UPI00077CC731	7	1	1	1	1	1	1	1
UPI00077CC679	7	1	1	1	1	1	1	1
UPI00077CC558	7	1	1	1	1	1	1	1
UPI00077CC2BE	7	1	1	1	1	1	1	1
UPI00077CC29F	7	1	1	1	1	1	1	1
UPI00077CC27A	7	1	1	1	1	1	1	1
UPI00077CC25B	7	1	1	1	1	1	1	1
UPI00077CC20B	7	1	1	1	1	1	1	1
UPI00077CC17E	7	1	1	1	1	1	1	1
UPI00077CC14B	7	1	1	1	1	1	1	1
UPI00077CC100	7	1	1	1	1	1	1	1
UPI00077CC0EC	7	1	1	1	1	1	1	1
UPI00077CBFCB	7	1	1	1	1	1	1	1
UPI00077CBF22	7	1	1	1	1	1	1	1
UPI00077CBEBE	7	1	1	1	1	1	1	1
UPI00077CBEBC	7	1	1	1	1	1	1	1
UPI00077CBCE4	7	1	1	1	1	1	1	1
UPI00077CBCD6	7	1	1	1	1	1	1	1
UPI00077CBC7C	7	1	1	1	1	1	1	1
UPI00077CBB6B	7	1	1	1	1	1	1	1
UPI00077CBB65	7	1	1	1	1	1	1	1
UPI00077CBB5B	7	1	1	1	1	1	1	1
UPI00077CBA54	7	1	1	1	1	1	1	1
UPI00077CBA17	7	1	1	1	1	1	1	1
UPI00077CB9A5	7	1	1	1	1	1	1	1
UPI00077CB96D	7	1	1	1	1	1	1	1
UPI00077CB837	7	1	1	1	1	1	1	1
UPI00077CB7B2	7	1	1	1	1	1	1	1
UPI00077CB730	7	1	1	1	1	1	1	1
UPI00077CB68C	7	1	1	1	1	1	1	1
UPI00077CB61C	7	1	1	1	1	1	1	1
UPI00077CB5D6	7	1	1	1	1	1	1	1
UPI00077CB596	7	1	1	1	1	1	1	1
UPI00077CB45C	7	1	1	1	1	1	1	1
UPI00077CB1A8	7	1	1	1	1	1	1	1
UPI00077CB1A5	7	1	1	1	1	1	1	1
UPI00077CB07A	7	1	1	1	1	1	1	1
UPI00077CB03D	7	1	1	1	1	1	1	1
UPI00077CB020	7	1	1	1	1	1	1	1
UPI00077CAFE5	7	1	1	1	1	1	1	1
UPI00077CAFC4	7	1	1	1	1	1	1	1
UPI00077CAFBD	7	1	1	1	1	1	1	1
UPI00077CAFB7	7	1	1	1	1	1	1	1
UPI00077CAE24	7	1	1	1	1	1	1	1
UPI00077CAC14	7	1	1	1	1	1	1	1
UPI00077CAB88	7	1	1	1	1	1	1	1
UPI00077CAAD1	7	1	1	1	1	1	1	1
UPI00077CA906	7	1	1	1	1	1	1	1
UPI00077CA875	7	1	1	1	1	1	1	1
UPI00077CA813	7	1	1	1	1	1	1	1
UPI00077CA7E3	7	1	1	1	1	1	1	1
UPI00077CA6D1	7	1	1	1	1	1	1	1
UPI00077CA63A	7	1	1	1	1	1	1	1
UPI00077CA5C2	7	1	1	1	1	1	1	1
UPI00077CA55A	7	1	1	1	1	1	1	1
UPI00077CA54F	7	1	1	1	1	1	1	1
UPI00077CA54A	7	1	1	1	1	1	1	1
UPI00077CA53E	7	1	1	1	1	1	1	1
UPI00077CA495	7	1	1	1	1	1	1	1
UPI00077CA469	7	1	1	1	1	1	1	1
UPI00077CA2C4	7	1	1	1	1	1	1	1
UPI00077CA0E8	7	1	1	1	1	1	1	1
UPI00077C9E36	7	1	1	1	1	1	1	1
UPI00077C9DAE	7	1	1	1	1	1	1	1
UPI00077C9D3A	7	1	1	1	1	1	1	1
UPI00077C9D15	7	1	1	1	1	1	1	1
UPI00077C9CB0	7	1	1	1	1	1	1	1
UPI00077C9C13	7	1	1	1	1	1	1	1
UPI00077C9BBB	7	1	1	1	1	1	1	1
UPI00077C9A86	7	1	1	1	1	1	1	1
UPI00077C9958	7	1	1	1	1	1	1	1
UPI00077C9946	7	1	1	1	1	1	1	1
UPI00077C98FE	7	1	1	1	1	1	1	1
UPI00077C97A8	7	1	1	1	1	1	1	1
UPI00077C9788	7	1	1	1	1	1	1	1
UPI00077C96E7	7	1	1	1	1	1	1	1
UPI00077C9613	7	1	1	1	1	1	1	1
UPI00077C95C9	7	1	1	1	1	1	1	1
UPI00077C957F	7	1	1	1	1	1	1	1
UPI00077C948A	7	1	1	1	1	1	1	1
UPI00077C9482	7	1	1	1	1	1	1	1
UPI00077C943D	7	1	1	1	1	1	1	1
UPI00077C93DC	7	1	1	1	1	1	1	1
UPI00077C9336	7	1	1	1	1	1	1	1
UPI00077C9333	7	1	1	1	1	1	1	1
UPI00077C92D6	7	1	1	1	1	1	1	1
UPI00077C90B1	7	1	1	1	1	1	1	1
UPI00077C9082	7	1	1	1	1	1	1	1
UPI00077C903B	7	1	1	1	1	1	1	1
UPI00077C8FDB	7	1	1	1	1	1	1	1
UPI00077C8C28	7	1	1	1	1	1	1	1
UPI00077C8BD8	7	1	1	1	1	1	1	1
UPI00077C8BD4	7	1	1	1	1	1	1	1
UPI00077C8B61	7	1	1	1	1	1	1	1
UPI00077C8A9E	7	1	1	1	1	1	1	1
UPI00077C8A20	7	1	1	1	1	1	1	1
UPI00077C89C3	7	1	1	1	1	1	1	1
UPI00077C8941	7	1	1	1	1	1	1	1
UPI00077C888F	7	1	1	1	1	1	1	1
UPI00077C8817	7	1	1	1	1	1	1	1
UPI00077C87C7	7	1	1	1	1	1	1	1
UPI00077C85CE	7	1	1	1	1	1	1	1
UPI00077C85C9	7	1	1	1	1	1	1	1
UPI00077C8577	7	1	1	1	1	1	1	1
UPI00077C8575	7	1	1	1	1	1	1	1
UPI00077C81DE	7	1	1	1	1	1	1	1
UPI00077C8038	7	1	1	1	1	1	1	1
UPI00077C8033	7	1	1	1	1	1	1	1
UPI00077C7F11	7	1	1	1	1	1	1	1
UPI00077C7D9C	7	1	1	1	1	1	1	1
UPI00077C7CF9	7	1	1	1	1	1	1	1
UPI00077C7CA6	7	1	1	1	1	1	1	1
UPI00077C7B2F	7	1	1	1	1	1	1	1
UPI00077C7B11	7	1	1	1	1	1	1	1
UPI00077C7AB3	7	1	1	1	2	1	1	1
UPI00077C7A41	7	1	1	1	1	1	1	1
UPI00077C794B	7	1	1	1	1	1	1	1
UPI00077C778F	7	1	1	1	1	1	1	1
UPI00077C76F2	7	1	1	1	1	1	1	1
UPI00077C757A	7	1	1	1	1	1	1	1
UPI00077C7528	7	1	1	1	1	1	1	1
UPI00077C748D	7	1	1	1	1	1	1	1
UPI00077C7460	7	1	1	1	1	1	1	1
UPI00077C7412	7	1	1	1	1	1	1	1
UPI00077C7156	7	1	1	1	1	1	1	1
UPI00077C6F75	7	1	1	1	1	1	1	1
UPI00077C6F74	7	1	1	1	1	1	1	1
UPI00077C6EE6	7	1	1	1	1	1	1	1
UPI00077C6ECD	7	1	1	1	1	1	1	1
UPI00077C6E1C	7	1	1	1	1	1	1	1
UPI00077C6DCA	7	1	1	1	1	1	1	1
UPI00077C6CAF	7	1	1	1	1	1	1	1
UPI00077C6C45	7	1	1	1	1	1	1	1
UPI00077C6C19	7	1	1	1	1	1	1	1
UPI00077C6BC8	7	1	1	1	1	1	1	1
UPI00077C6AC6	7	1	1	1	1	1	1	1
UPI00077C68C6	7	1	1	1	1	1	1	1
UPI00077C68B8	7	1	1	1	1	1	1	1
UPI00077C6873	7	1	1	1	1	1	1	1
UPI00077C67D7	7	1	1	1	1	1	1	1
UPI00077C6777	7	1	1	1	1	1	1	1
UPI00077C675D	7	1	1	1	1	1	1	1
UPI00077C66F2	7	1	1	1	1	1	1	1
UPI00077C6573	7	1	1	1	1	1	1	1
UPI00077C6318	7	1	1	1	1	1	1	1
UPI00077C6293	7	1	1	1	1	1	1	1
UPI00077C61B2	7	1	1	1	1	1	1	1
UPI00077C618A	7	1	1	1	1	1	1	1
UPI00077C5FCD	7	1	1	1	1	1	1	1
UPI00077C5F6B	7	1	1	1	1	1	1	1
UPI00077C5F52	7	1	1	1	1	1	1	1
UPI00077C5DE0	7	1	1	1	1	1	1	1
UPI00077C5DBF	7	1	1	1	1	1	1	1
UPI00077C5DBB	7	1	1	1	1	1	1	1
UPI00077C5BC8	7	1	1	1	1	1	1	1
UPI00077C5B31	7	1	1	1	1	1	1	1
UPI00077C5B05	7	1	1	1	1	1	1	1
UPI00077C5AAB	7	1	1	1	1	1	1	1
UPI00077C5AA5	7	1	1	1	1	1	1	1
UPI00077C592C	7	1	1	1	1	1	1	1
UPI00077C5903	7	1	1	1	1	1	1	1
UPI00077C58E2	7	1	1	1	1	1	1	1
UPI00077C5794	7	1	1	1	1	1	1	1
UPI00077C56E2	7	1	1	1	1	1	1	1
UPI00077C5641	7	1	1	1	1	1	1	1
UPI00077C55DE	7	1	1	1	1	1	1	1
UPI00077C5545	7	1	1	1	1	1	1	1
UPI00077C5459	7	1	1	1	1	1	1	1
UPI00077C5408	7	1	1	1	1	1	1	1
UPI00077C539B	7	1	1	1	1	1	1	1
UPI00077C52EC	7	1	1	1	1	1	1	1
UPI00077C50A5	7	1	1	1	1	1	1	1
UPI00077C4F4D	7	1	1	1	1	1	1	1
UPI00077C4ED7	7	1	1	1	1	1	1	1
UPI00077C4E18	7	1	1	1	1	1	1	1
UPI00077C4BA2	7	1	1	1	1	1	1	1
UPI00077C4B29	7	1	1	1	1	1	1	1
UPI00077C4913	7	1	1	1	1	1	1	1
UPI00077C48B8	7	1	1	1	1	1	1	1
UPI00077C48B6	7	1	1	1	1	1	1	1
UPI00077C48B0	7	1	1	1	1	1	1	1
UPI00077C4852	7	1	1	1	1	1	1	1
UPI00077C484D	7	1	1	1	1	1	1	1
UPI00077C4734	7	1	1	1	1	1	1	1
UPI00077C4712	7	1	1	1	1	1	1	1
UPI00077C45CD	7	1	1	1	1	1	1	1
UPI00077C45AC	7	1	1	1	1	1	1	1
UPI00077C455F	7	1	1	1	1	1	1	1
UPI00077C43EA	7	1	1	1	1	1	1	1
UPI00077C4183	7	1	1	1	1	1	1	1
UPI00077C412F	7	1	1	1	1	1	1	1
UPI00077C408E	7	1	1	1	1	1	1	1
UPI00077C3FD6	7	1	1	1	1	1	1	1
UPI00077C3FD3	7	1	1	1	1	1	1	1
UPI00077C3FCA	7	1	1	1	1	1	1	1
UPI00077C3E35	7	1	1	1	1	1	1	1
UPI00077C3DA5	7	1	1	1	1	1	1	1
UPI00077C3D76	7	1	1	1	1	1	1	1
UPI00077C3C72	7	1	1	1	1	1	1	1
UPI00077C3BD4	7	1	1	1	1	1	1	1
UPI00077C3B79	7	1	1	1	1	1	1	1
UPI00077C3AE6	7	1	1	1	1	1	1	1
UPI00077C3A99	7	1	1	1	1	1	1	1
UPI00077C3A80	7	1	1	1	1	1	1	1
UPI00077C3A21	7	1	1	1	1	1	1	1
UPI00077C3A15	7	1	1	1	1	1	1	1
UPI00077C37FD	7	1	1	1	1	1	1	1
UPI00077C378B	7	1	1	1	1	1	1	1
UPI00077C3758	7	1	1	1	1	1	1	1
UPI00077C36DD	7	1	1	1	1	1	1	1
UPI00077C3692	7	1	1	1	1	1	1	1
UPI00077C3684	7	1	1	1	1	1	1	1
UPI00077C357C	7	1	1	1	1	1	1	1
UPI00077C3538	7	1	1	1	1	1	1	1
UPI00077C3495	7	1	1	1	1	1	1	1
UPI00077C32D2	7	1	1	1	1	1	1	1
UPI00077C32C9	7	1	1	1	1	1	1	1
UPI00077C30A9	7	1	1	1	1	1	1	1
UPI00077C3091	7	1	1	1	1	1	1	1
UPI00077C2FA0	7	1	1	1	1	1	1	1
UPI00077C2F70	7	1	1	1	1	1	1	1
UPI00077C2EEC	7	1	1	1	1	1	1	1
UPI00077C2E1E	7	1	1	1	1	1	1	1
UPI00077C2E1C	7	1	1	1	1	1	1	1
UPI00077C2C44	7	1	1	1	1	1	1	1
UPI00077C2C1B	7	1	1	1	1	1	1	1
UPI00077C2BA1	7	1	1	1	1	1	1	1
UPI00077C2B59	7	1	1	1	1	1	1	1
UPI00077C2B55	7	1	1	1	1	1	1	1
UPI00077C2AF6	7	1	1	1	1	1	1	1
UPI00077C2ADA	7	1	1	1	1	1	1	1
UPI00077C2A30	7	1	1	1	1	1	1	1
UPI00077C2940	7	1	1	1	1	1	1	1
UPI00077C28BA	7	1	1	1	1	1	1	1
UPI00077C289E	7	1	1	1	1	1	1	1
UPI00077C2877	7	1	1	1	1	1	1	1
UPI00077C26D1	7	1	1	1	1	1	1	1
UPI00077C25F4	7	1	1	1	1	1	1	1
UPI00077C25D7	7	1	1	1	1	1	1	1
UPI00077C23D6	7	1	1	1	1	1	1	1
UPI00077C239D	7	1	1	1	1	1	1	1
UPI00077C202F	7	1	1	1	1	1	1	1
UPI00077C1F6F	7	1	1	1	1	1	1	1
UPI00077C1ECA	7	1	1	1	1	1	1	1
UPI00077C1EBB	7	1	1	1	1	1	1	1
UPI00077C1E3A	7	1	1	1	1	1	1	1
UPI00077C1DAB	7	1	1	1	1	1	1	1
UPI00077C1CF8	7	1	1	1	1	1	1	1
UPI00077C1C89	7	1	1	1	1	1	1	1
UPI00077C1BBA	7	1	1	1	1	1	1	1
UPI00077C1B3E	7	1	1	1	1	1	1	1
UPI00077C1B13	7	1	1	1	1	1	1	1
UPI00077C1A64	7	1	1	1	1	1	1	1
UPI00077C18E1	7	1	1	1	1	1	1	1
UPI00077C18DC	7	1	1	1	1	1	1	1
UPI00077C188E	7	1	1	1	1	1	1	1
UPI00077C170C	7	1	1	1	1	1	1	1
UPI00077C15FF	7	1	1	1	1	1	1	1
UPI00077C15AD	7	1	1	1	1	1	1	1
UPI00077C1551	7	1	1	1	1	1	1	1
UPI00077C14B5	7	1	1	1	1	1	1	1
