PPid	species_name	UPID	isRP	clusters	in_fasta
pp100861	Aphanomyces euteiches	UP001966488	f	16174	43
pp100861	Aphanomyces euteiches	UP001966458	f	16170	43
pp100861	Aphanomyces euteiches	UP001966461	f	16683	38
pp100861	Aphanomyces euteiches	UP001966481	f	16158	35
pp100861	Aphanomyces euteiches	UP001966466	f	16277	35
pp100861	Aphanomyces euteiches	UP001966473	f	16569	32
pp100861	Aphanomyces euteiches	UP001966462	f	16199	31
pp100861	Aphanomyces euteiches	UP001966484	f	16164	27
pp100861	Aphanomyces euteiches	UP001966464	f	16135	26
pp100861	Aphanomyces euteiches	UP001966476	f	16179	25
pp100861	Aphanomyces euteiches	UP001966465	f	16635	25
pp100861	Aphanomyces euteiches	UP001966463	f	16156	25
pp100861	Aphanomyces euteiches	UP001966470	f	16499	24
pp100861	Aphanomyces euteiches	UP001966469	f	16294	24
pp100861	Aphanomyces euteiches	UP001966485	f	16268	23
pp100861	Aphanomyces euteiches	UP001966475	f	16172	23
pp100861	Aphanomyces euteiches	UP001966493	f	16140	22
pp100861	Aphanomyces euteiches	UP001966478	f	16235	22
pp100861	Aphanomyces euteiches	UP001966471	f	16622	22
pp100861	Aphanomyces euteiches	UP001966486	f	16249	21
pp100861	Aphanomyces euteiches	UP001966472	f	16608	18
pp100861	Aphanomyces euteiches	UP001966487	f	16655	17
pp100861	Aphanomyces euteiches	UP001966477	f	16236	16
pp100861	Aphanomyces euteiches	UP001966467	f	16565	16
pp100861	Aphanomyces euteiches	UP001966482	f	16561	15
pp100861	Aphanomyces euteiches	UP001966468	f	16162	15
pp100861	Aphanomyces euteiches	UP001966504	f	16570	13
pp100861	Aphanomyces euteiches	UP001966490	f	16258	13
pp100861	Aphanomyces euteiches	UP001966474	f	16641	13
pp100861	Aphanomyces euteiches	UP001966491	f	16234	12
pp100861	Aphanomyces euteiches	UP001966501	f	16609	11
pp100861	Aphanomyces euteiches	UP001966483	f	16726	11
pp100861	Aphanomyces euteiches	UP001966495	f	16146	10
pp100861	Aphanomyces euteiches	UP001966489	f	16188	10
pp100861	Aphanomyces euteiches	UP001966505	f	16254	8
pp100861	Aphanomyces euteiches	UP001966506	f	16226	7
pp100861	Aphanomyces euteiches	UP001966503	f	16581	7
pp100861	Aphanomyces euteiches	UP001966500	f	16197	7
pp100861	Aphanomyces euteiches	UP001966494	f	16286	7
pp100861	Aphanomyces euteiches	UP001966492	f	16197	7
pp100861	Aphanomyces euteiches	UP001966496	f	16173	6
pp100861	Aphanomyces euteiches	UP001966510	f	16659	3
pp100861	Aphanomyces euteiches	UP001966507	f	16214	3
pp100861	Aphanomyces euteiches	UP001966502	f	16255	3
pp100861	Aphanomyces euteiches	UP001966509	f	16240	2
pp100861	Aphanomyces euteiches	UP001966508	f	16632	2
pp100886	Catenibacterium mitsuokai	UP001197492	t	2212	2212
pp100886	Catenibacterium mitsuokai	UP001846445	f	2479	711
pp100886	Catenibacterium mitsuokai	UP001846458	f	2576	418
pp100886	Catenibacterium mitsuokai	UP001846533	f	2457	262
pp100886	Catenibacterium mitsuokai	UP001849030	f	2583	168
pp100886	Catenibacterium mitsuokai	UP001849183	f	2466	167
pp100886	Catenibacterium mitsuokai	UP001846519	f	2407	131
pp100886	Catenibacterium mitsuokai	UP001846600	f	2416	89
pp100886	Catenibacterium mitsuokai	UP001846496	f	2520	54
pp100886	Catenibacterium mitsuokai	UP001846474	f	2554	17
pp100886	Catenibacterium mitsuokai	UP001846451	f	2462	12
pp100886	Catenibacterium mitsuokai	UP001846487	f	2484	7
pp100886	Catenibacterium mitsuokai	UP001849061	f	2375	4
pp100886	Catenibacterium mitsuokai	UP001849251	f	2485	3
pp100886	Catenibacterium mitsuokai	UP001849254	f	2515	1
pp100886	Catenibacterium mitsuokai	UP001846583	f	2451	0
pp100886	Catenibacterium mitsuokai	UP001849224	f	2461	0
pp100886	Catenibacterium mitsuokai	UP001849031	f	2596	0
pp100886	Catenibacterium mitsuokai	UP001849253	f	2564	0
pp100886	Catenibacterium mitsuokai	UP001849247	f	2391	0
pp101028	Fusarium pseudograminearum	UP000007978	t	12446	12446
pp101028	Fusarium pseudograminearum	UP000766274	f	11482	711
pp101028	Fusarium pseudograminearum	UP000663104	f	11214	603
pp1010610	Methylobacterium gnaphalii	UP000321750	t	4685	4685
pp1010610	Methylobacterium gnaphalii	UP001055226	f	4686	254
pp1010610	Methylobacterium gnaphalii	UP001156900	f	4630	36
pp101201	Trichoderma asperellum	UP000240493	t	12496	12496
pp101201	Trichoderma asperellum	UP000517252	f	8791	1110
pp101201	Trichoderma asperellum	UP001346631	f	9819	633
pp101480	Trichophyton interdigitale	UP000024533	t	7991	7991
pp101480	Trichophyton interdigitale	UP000053242	f	8111	584
pp101480	Trichophyton interdigitale	UP000749309	f	4922	249
pp101480	Trichophyton interdigitale	UP000708243	f	5035	59
pp101564	Ectopseudomonas alcaliphila	UP001278050	t	4951	4951
pp101564	Ectopseudomonas alcaliphila	UP001259853	f	4863	577
pp101564	Ectopseudomonas alcaliphila	UP000182413	f	4858	67
pp1016849	Exophiala sideris	UP001345691	t	11425	11425
pp1016849	Exophiala sideris	UP000053599	f	10194	1687
pp1016849	Exophiala sideris	UP001344641	f	11392	101
pp1016849	Exophiala sideris	UP001358345	f	11416	39
pp1017	Capnocytophaga gingivalis	UP001311730	t	2787	2787
pp1017	Capnocytophaga gingivalis	UP001324270	t	2912	2028
pp1017	Capnocytophaga gingivalis	UP000003622	f	2569	453
pp1017	Capnocytophaga gingivalis	UP000217250	f	2550	291
pp1017	Capnocytophaga gingivalis	UP001308745	f	2376	156
pp1017	Capnocytophaga gingivalis	UP001854936	f	2406	138
pp1018	Capnocytophaga ochracea	UP000006650	t	2166	2166
pp1018	Capnocytophaga ochracea	UP000005391	f	2326	517
pp1018	Capnocytophaga ochracea	UP001163262	f	2331	432
pp1018	Capnocytophaga ochracea	UP001163215	f	2270	203
pp1018	Capnocytophaga ochracea	UP001163139	f	2188	179
pp1018	Capnocytophaga ochracea	UP001326435	f	2101	147
pp1018	Capnocytophaga ochracea	UP001327249	f	2169	126
pp1018	Capnocytophaga ochracea	UP000004327	f	2266	51
pp1019	Capnocytophaga sputigena	UP000217301	t	2624	2624
pp1019	Capnocytophaga sputigena	UP000217334	f	2667	504
pp1019	Capnocytophaga sputigena	UP001413848	f	2682	265
pp1019	Capnocytophaga sputigena	UP001401944	f	2535	205
pp1019	Capnocytophaga sputigena	UP000218560	f	2518	202
pp1019	Capnocytophaga sputigena	UP000217283	f	2440	158
pp1019	Capnocytophaga sputigena	UP000004362	f	2663	149
pp1019	Capnocytophaga sputigena	UP001423301	f	2565	135
pp102148	Solobacterium moorei	UP000004097	t	2032	2032
pp102148	Solobacterium moorei	UP001346703	f	2318	806
pp102148	Solobacterium moorei	UP001529228	f	2046	264
pp1022	Beggiatoa alba	UP000005744	t	3398	3398
pp1022	Beggiatoa alba	UP001898747	f	696	696
pp1022	Beggiatoa alba	UP001971313	f	253	250
pp1022	Beggiatoa alba	UP001971292	f	188	188
pp102684	Streptococcus infantarius	UP000005602	t	2042	2042
pp102684	Streptococcus infantarius	UP001790525	f	1879	217
pp102684	Streptococcus infantarius	UP001186139	f	1701	125
pp102684	Streptococcus infantarius	UP000008191	f	1695	102
pp102684	Streptococcus infantarius	UP001460995	f	1760	34
pp102684	Streptococcus infantarius	UP001767797	f	1702	19
pp102684	Streptococcus infantarius	UP000595765	f	1777	4
pp102684	Streptococcus infantarius	UP001790740	f	1658	3
pp102684	Streptococcus infantarius	UP001790628	f	1879	3
pp102684	Streptococcus infantarius	UP001790526	f	1705	2
pp102684	Streptococcus infantarius	UP001790648	f	1878	1
pp102862	Proteus penneri	UP000619976	t	3294	3294
pp102862	Proteus penneri	UP000006464	f	4898	2123
pp102862	Proteus penneri	UP000183920	f	3417	410
pp102862	Proteus penneri	UP000594844	f	3258	141
pp102862	Proteus penneri	UP001843214	f	3263	134
pp1031537	Bremerella cremea	UP001573764	t	5018	5018
pp1031537	Bremerella cremea	UP000252962	t	5686	4950
pp1031537	Bremerella cremea	UP000253151	t	5273	4374
pp1031537	Bremerella cremea	UP000253562	t	5015	3317
pp1031542	Campylobacter volucris	UP000321325	t	1513	1513
pp1031542	Campylobacter volucris	UP000321629	f	1518	293
pp1031542	Campylobacter volucris	UP000293421	f	1472	3
pp1031594	Extensimonas vulgaris	UP000252174	t	2779	2779
pp1031594	Extensimonas vulgaris	UP000321766	f	2763	51
pp1031594	Extensimonas vulgaris	UP000318715	f	2762	10
pp1032072	Malaciobacter molluscorum	UP000221222	t	2722	2722
pp1032072	Malaciobacter molluscorum	UP000290367	f	2872	440
pp1032072	Malaciobacter molluscorum	UP000262712	f	2633	14
pp1032242	Campylobacter molothri	UP001319828	t	1501	1501
pp1032242	Campylobacter molothri	UP000713758	f	1436	63
pp1032242	Campylobacter molothri	UP000733397	f	1453	48
pp1032242	Campylobacter molothri	UP000715553	f	1457	31
pp1032242	Campylobacter molothri	UP001319864	f	1444	30
pp1032242	Campylobacter molothri	UP001319800	f	1439	22
pp1032242	Campylobacter molothri	UP000770509	f	1434	21
pp1032242	Campylobacter molothri	UP000735080	f	1401	19
pp1032242	Campylobacter molothri	UP000826605	f	1421	17
pp1032242	Campylobacter molothri	UP000779558	f	1434	15
pp1032242	Campylobacter molothri	UP001319823	f	1446	14
pp1032242	Campylobacter molothri	UP001319847	f	1450	12
pp1032242	Campylobacter molothri	UP001319825	f	1450	12
pp1032242	Campylobacter molothri	UP001319804	f	1432	11
pp1032242	Campylobacter molothri	UP001319831	f	1435	10
pp1032242	Campylobacter molothri	UP001319855	f	1440	8
pp1032242	Campylobacter molothri	UP001319853	f	1443	5
pp1032242	Campylobacter molothri	UP001319854	f	1428	4
pp1032242	Campylobacter molothri	UP001319826	f	1432	4
pp1032242	Campylobacter molothri	UP001319932	f	1437	3
pp1032242	Campylobacter molothri	UP001319924	f	1444	3
pp1032242	Campylobacter molothri	UP001319885	f	1445	3
pp1032242	Campylobacter molothri	UP001319807	f	1441	2
pp1032242	Campylobacter molothri	UP001319925	f	1387	1
pp1032242	Campylobacter molothri	UP001319869	f	1486	1
pp1032242	Campylobacter molothri	UP001319886	f	1445	0
pp1032242	Campylobacter molothri	UP001319905	f	1441	0
pp1032242	Campylobacter molothri	UP001319893	f	1429	0
pp1032243	Campylobacter californiensis	UP000650616	t	1777	1777
pp1032243	Campylobacter californiensis	UP000617901	f	1771	152
pp1032243	Campylobacter californiensis	UP000601511	f	1740	117
pp1032243	Campylobacter californiensis	UP001318760	f	1761	108
pp1032243	Campylobacter californiensis	UP000502946	f	1725	30
pp1032243	Campylobacter californiensis	UP001318700	f	1784	16
pp1032243	Campylobacter californiensis	UP001318702	f	1786	13
pp1032243	Campylobacter californiensis	UP001318780	f	1767	8
pp1032243	Campylobacter californiensis	UP001318740	f	1778	2
pp103232	Streptomyces ipomoeae	UP000010411	t	9289	9289
pp103232	Streptomyces ipomoeae	UP000320001	f	8713	1237
pp103232	Streptomyces ipomoeae	UP000318230	f	8696	1095
pp103232	Streptomyces ipomoeae	UP000318720	f	8623	734
pp103232	Streptomyces ipomoeae	UP001274170	f	9292	655
pp103232	Streptomyces ipomoeae	UP001279010	f	9259	600
pp103232	Streptomyces ipomoeae	UP001271755	f	8984	311
pp103232	Streptomyces ipomoeae	UP001282464	f	9406	305
pp103232	Streptomyces ipomoeae	UP001283433	f	9163	107
pp103232	Streptomyces ipomoeae	UP001814157	f	8953	50
pp1033846	Marinobacter adhaerens	UP000007077	t	4379	4379
pp1033846	Marinobacter adhaerens	UP000536442	t	3089	2654
pp1033846	Marinobacter adhaerens	UP000094219	f	3776	1006
pp1033846	Marinobacter adhaerens	UP000775353	f	4266	309
pp1033846	Marinobacter adhaerens	UP000683442	t	4018	117
pp1033846	Marinobacter adhaerens	UP001671109	f	4039	95
pp1033854	Thioalkalivibrio sulfidiphilus	UP000002383	t	3264	3264
pp1033854	Thioalkalivibrio sulfidiphilus	UP001746763	f	3093	484
pp1033854	Thioalkalivibrio sulfidiphilus	UP001760933	f	3053	68
pp1035	Afipia felis	UP000001342	t	4018	4018
pp1035	Afipia felis	UP000035762	t	4053	2102
pp1035	Afipia felis	UP001862192	f	3866	2101
pp103621	Actinomyces urogenitalis	UP000004778	t	2402	2402
pp103621	Actinomyces urogenitalis	UP001303621	f	2152	145
pp103621	Actinomyces urogenitalis	UP000029581	f	1772	111
pp103621	Actinomyces urogenitalis	UP000234778	f	1977	71
pp1037377	Chryseobacterium viscerum	UP000326384	t	4502	4502
pp1037377	Chryseobacterium viscerum	UP001950255	f	4297	1551
pp1037377	Chryseobacterium viscerum	UP000236413	f	5003	812
pp103816	Rhodococcus pyridinivorans	UP000593818	t	5185	5185
pp103816	Rhodococcus pyridinivorans	UP000005064	f	4602	521
pp103816	Rhodococcus pyridinivorans	UP000053060	f	4449	473
pp103816	Rhodococcus pyridinivorans	UP000018781	f	4368	298
pp103816	Rhodococcus pyridinivorans	UP001066266	f	4448	181
pp103816	Rhodococcus pyridinivorans	UP000596081	f	4349	175
pp103816	Rhodococcus pyridinivorans	UP000186834	f	4452	156
pp103816	Rhodococcus pyridinivorans	UP001059172	f	4632	150
pp103816	Rhodococcus pyridinivorans	UP000249934	f	4215	133
pp103816	Rhodococcus pyridinivorans	UP000830717	f	4483	115
pp103816	Rhodococcus pyridinivorans	UP000693640	f	4675	108
pp103816	Rhodococcus pyridinivorans	UP001163128	f	4844	57
pp103816	Rhodococcus pyridinivorans	UP000830419	f	4429	43
pp103816	Rhodococcus pyridinivorans	UP001056330	f	4402	39
pp103816	Rhodococcus pyridinivorans	UP001059857	f	4431	23
pp103816	Rhodococcus pyridinivorans	UP001727442	f	4493	11
pp103816	Rhodococcus pyridinivorans	UP001526079	f	4618	10
pp103816	Rhodococcus pyridinivorans	UP001148638	f	4463	9
pp103816	Rhodococcus pyridinivorans	UP001807174	f	4416	7
pp103816	Rhodococcus pyridinivorans	UP001198017	f	4564	2
pp103816	Rhodococcus pyridinivorans	UP001185653	f	4432	2
pp103816	Rhodococcus pyridinivorans	UP001229700	f	4463	0
pp103816	Rhodococcus pyridinivorans	UP001198692	f	4436	0
pp103855	Bordetella hinzii	UP000025748	t	4590	4590
pp103855	Bordetella hinzii	UP000036382	f	4532	239
pp103855	Bordetella hinzii	UP000070194	f	4439	166
pp103855	Bordetella hinzii	UP000282741	f	4420	140
pp103855	Bordetella hinzii	UP000319176	f	4457	70
pp103855	Bordetella hinzii	UP000317035	f	4447	69
pp103855	Bordetella hinzii	UP000025383	f	4476	39
pp103855	Bordetella hinzii	UP000676355	f	4527	37
pp103855	Bordetella hinzii	UP000319911	f	4539	29
pp103855	Bordetella hinzii	UP000500838	f	4285	24
pp103855	Bordetella hinzii	UP000318414	f	4483	23
pp103855	Bordetella hinzii	UP000325270	f	4422	18
pp103855	Bordetella hinzii	UP000704780	f	4455	12
pp103855	Bordetella hinzii	UP000026615	f	4479	11
pp103855	Bordetella hinzii	UP000026379	f	4455	11
pp103855	Bordetella hinzii	UP000026696	f	4470	8
pp103855	Bordetella hinzii	UP000026398	f	4502	8
pp103855	Bordetella hinzii	UP000318999	f	4320	7
pp103855	Bordetella hinzii	UP000320872	f	4408	5
pp103855	Bordetella hinzii	UP000724628	f	4459	3
pp103855	Bordetella hinzii	UP000681844	f	4478	1
pp103855	Bordetella hinzii	UP000681086	f	4522	1
pp103855	Bordetella hinzii	UP000680379	f	4523	1
pp103855	Bordetella hinzii	UP000036132	f	4447	0
pp103855	Bordetella hinzii	UP000678123	f	4526	0
pp103855	Bordetella hinzii	UP000738407	f	4330	0
pp1038856	Planococcus plakortidis	UP000092650	t	3051	3051
pp1038856	Planococcus plakortidis	UP001622432	f	3233	482
pp1038856	Planococcus plakortidis	UP001685492	f	3140	109
pp1038928	Streptomyces xinghaiensis	UP000028058	t	6209	6209
pp1038928	Streptomyces xinghaiensis	UP001767651	f	5914	239
pp1038928	Streptomyces xinghaiensis	UP000239269	f	6210	112
pp1038928	Streptomyces xinghaiensis	UP000245280	f	6229	75
pp104087	Pseudomonas frederiksbergensis	UP001268082	t	5973	5973
pp104087	Pseudomonas frederiksbergensis	UP001344411	t	5239	2874
pp104087	Pseudomonas frederiksbergensis	UP000285349	t	6238	2757
pp104087	Pseudomonas frederiksbergensis	UP000182567	t	5313	2640
pp104087	Pseudomonas frederiksbergensis	UP000183114	f	5076	1118
pp104087	Pseudomonas frederiksbergensis	UP000283260	f	5200	710
pp104087	Pseudomonas frederiksbergensis	UP000218385	f	5407	339
pp104087	Pseudomonas frederiksbergensis	UP001793458	f	5585	219
pp104087	Pseudomonas frederiksbergensis	UP000283627	f	5152	191
pp104087	Pseudomonas frederiksbergensis	UP000284002	f	4992	155
pp104087	Pseudomonas frederiksbergensis	UP000239687	f	5221	152
pp104087	Pseudomonas frederiksbergensis	UP000475265	f	5334	118
pp104087	Pseudomonas frederiksbergensis	UP001793437	f	5406	103
pp104087	Pseudomonas frederiksbergensis	UP000030949	f	5037	95
pp104087	Pseudomonas frederiksbergensis	UP000186426	f	5043	69
pp104087	Pseudomonas frederiksbergensis	UP001793438	f	5525	55
pp104087	Pseudomonas frederiksbergensis	UP001793435	f	5448	37
pp104087	Pseudomonas frederiksbergensis	UP001793488	f	4977	24
pp104087	Pseudomonas frederiksbergensis	UP000283927	f	5801	6
pp104087	Pseudomonas frederiksbergensis	UP001793551	f	5681	1
pp104087	Pseudomonas frederiksbergensis	UP001793490	f	5032	0
pp104087	Pseudomonas frederiksbergensis	UP001793459	f	5513	0
pp104097	Acetobacter estunensis	UP000597459	t	3078	3078
pp104097	Acetobacter estunensis	UP000770017	f	3051	647
pp104097	Acetobacter estunensis	UP001065021	f	3105	172
pp104098	Acetobacter peroxydans	UP000317730	t	2454	2454
pp104098	Acetobacter peroxydans	UP000641813	f	2385	48
pp104098	Acetobacter peroxydans	UP001061819	f	2293	28
pp104098	Acetobacter peroxydans	UP001064623	f	2440	8
pp104099	Acetobacter orleanensis	UP000317617	t	2672	2672
pp104099	Acetobacter orleanensis	UP000075402	f	2486	85
pp104099	Acetobacter orleanensis	UP000218479	f	2560	39
pp104099	Acetobacter orleanensis	UP001062276	f	2601	34
pp104099	Acetobacter orleanensis	UP000032676	f	2664	29
pp104100	Acetobacter lovaniensis	UP000578000	t	3316	3316
pp104100	Acetobacter lovaniensis	UP001610714	f	3145	827
pp104100	Acetobacter lovaniensis	UP001523581	f	2863	285
pp104100	Acetobacter lovaniensis	UP001063260	f	3197	104
pp104100	Acetobacter lovaniensis	UP000639139	f	3112	37
pp104101	Acetobacter indonesiensis	UP000032673	t	2967	2967
pp104101	Acetobacter indonesiensis	UP001521434	f	2909	410
pp104101	Acetobacter indonesiensis	UP000194641	f	2611	379
pp104101	Acetobacter indonesiensis	UP001523609	f	2806	376
pp104101	Acetobacter indonesiensis	UP000194616	f	2488	241
pp104101	Acetobacter indonesiensis	UP001704079	f	3106	192
pp104101	Acetobacter indonesiensis	UP001061682	f	2929	54
pp104101	Acetobacter indonesiensis	UP000321104	f	2976	35
pp104102	Acetobacter tropicalis	UP000029448	t	3637	3637
pp104102	Acetobacter tropicalis	UP000004319	f	2876	695
pp104102	Acetobacter tropicalis	UP000055062	f	3051	539
pp104102	Acetobacter tropicalis	UP000220394	f	2995	248
pp104102	Acetobacter tropicalis	UP000075411	f	2778	177
pp104102	Acetobacter tropicalis	UP000322459	f	3210	114
pp104102	Acetobacter tropicalis	UP000194565	f	2623	74
pp104102	Acetobacter tropicalis	UP000321800	f	3001	46
pp104102	Acetobacter tropicalis	UP000615254	f	3092	11
pp104102	Acetobacter tropicalis	UP000323549	f	3212	7
pp104102	Acetobacter tropicalis	UP001683503	f	3175	1
pp104102	Acetobacter tropicalis	UP001242920	f	3155	1
pp104102	Acetobacter tropicalis	UP000075279	f	2865	1
pp104102	Acetobacter tropicalis	UP001064075	f	2950	0
pp104268	Tenacibaculum mesophilum	UP000269693	t	2927	2927
pp104268	Tenacibaculum mesophilum	UP001056837	f	2944	258
pp104268	Tenacibaculum mesophilum	UP001673436	f	2709	80
pp104268	Tenacibaculum mesophilum	UP000183998	f	2957	63
pp104268	Tenacibaculum mesophilum	UP000326992	f	2912	2
pp104336	Microbacterium foliorum	UP000033572	t	3323	3323
pp104336	Microbacterium foliorum	UP001249291	t	3756	2209
pp104336	Microbacterium foliorum	UP000316125	f	3396	722
pp104336	Microbacterium foliorum	UP000190317	f	3517	381
pp104336	Microbacterium foliorum	UP000254953	f	3262	51
pp104609	Vibrio penaeicida	UP001156690	t	5830	5830
pp104609	Vibrio penaeicida	UP001177957	f	5503	740
pp104609	Vibrio penaeicida	UP000273691	f	5617	177
pp104628	Helicobacter suis	UP000509742	t	1732	1732
pp104628	Helicobacter suis	UP001061466	f	1821	206
pp104628	Helicobacter suis	UP000317935	f	1681	69
pp104628	Helicobacter suis	UP000509264	f	1692	46
pp104628	Helicobacter suis	UP000509619	f	1662	27
pp104628	Helicobacter suis	UP000509641	f	1684	25
pp104628	Helicobacter suis	UP000054093	f	1136	22
pp104628	Helicobacter suis	UP000504880	f	1601	12
pp104628	Helicobacter suis	UP000053870	f	1161	7
pp104663	Chitinophaga filiformis	UP000830198	t	6337	6337
pp104663	Chitinophaga filiformis	UP000199045	f	6836	3032
pp104663	Chitinophaga filiformis	UP001980619	f	6384	2111
pp1047171	Zymoseptoria tritici	UP000008062	t	10942	10942
pp1047171	Zymoseptoria tritici	UP000215127	t	11711	3365
pp1047171	Zymoseptoria tritici	UP000215453	f	11986	1203
pp1047171	Zymoseptoria tritici	UP000245764	f	11960	800
pp1047171	Zymoseptoria tritici	UP000245770	f	11968	491
pp1048	Marichromatium gracile	UP000075766	t	3171	3171
pp1048	Marichromatium gracile	UP000295247	f	3297	307
pp1048	Marichromatium gracile	UP001980280	f	3220	167
pp104955	Limosilactobacillus frumenti	UP000051445	t	1639	1639
pp104955	Limosilactobacillus frumenti	UP000724574	f	1522	64
pp104955	Limosilactobacillus frumenti	UP000325822	f	1604	35
pp1052	Halorhodospira halochloris	UP000218890	t	2491	2491
pp1052	Halorhodospira halochloris	UP001925518	f	2484	417
pp1052	Halorhodospira halochloris	UP001982382	f	2541	374
pp105219	Ralstonia mannitolilytica	UP001190452	t	4892	4892
pp105219	Ralstonia mannitolilytica	UP000032667	f	4078	381
pp105219	Ralstonia mannitolilytica	UP000234800	f	4329	278
pp105219	Ralstonia mannitolilytica	UP000076550	f	4242	255
pp105219	Ralstonia mannitolilytica	UP001732141	f	4615	211
pp105219	Ralstonia mannitolilytica	UP001753533	f	4332	173
pp105219	Ralstonia mannitolilytica	UP000502127	f	3949	146
pp105219	Ralstonia mannitolilytica	UP001190002	f	4758	143
pp105219	Ralstonia mannitolilytica	UP000675095	f	4353	138
pp105219	Ralstonia mannitolilytica	UP001753614	f	4533	136
pp105219	Ralstonia mannitolilytica	UP001753578	f	4410	55
pp105219	Ralstonia mannitolilytica	UP001189858	f	4295	55
pp105219	Ralstonia mannitolilytica	UP001189224	f	4116	46
pp105219	Ralstonia mannitolilytica	UP001189772	f	4282	45
pp105219	Ralstonia mannitolilytica	UP001189321	f	4407	38
pp105219	Ralstonia mannitolilytica	UP001189284	f	4253	32
pp105219	Ralstonia mannitolilytica	UP001189662	f	4392	24
pp105219	Ralstonia mannitolilytica	UP001189723	f	4445	22
pp105219	Ralstonia mannitolilytica	UP001673514	f	4313	20
pp105219	Ralstonia mannitolilytica	UP001190005	f	4305	9
pp105219	Ralstonia mannitolilytica	UP001753681	f	4509	8
pp105219	Ralstonia mannitolilytica	UP001753579	f	4401	3
pp105219	Ralstonia mannitolilytica	UP001190508	f	4319	3
pp105219	Ralstonia mannitolilytica	UP001190247	f	4007	3
pp105219	Ralstonia mannitolilytica	UP001732142	f	4618	2
pp105219	Ralstonia mannitolilytica	UP001753680	f	4338	1
pp105219	Ralstonia mannitolilytica	UP001732161	f	4616	0
